year,soc_g_per_kg,Panel,plotid,depth_cm,BD,Plotid
1904,20.62570835,B,3NB,15,1.45,3NB
1933,17.40715448,B,3NB,15,1.45,3NB
1955,15.36797557,B,3NB,15,1.45,3NB
1965,16.89537596,B,3NB,15,1.45,3NB
1979,16.7708178,B,3NB,15,1.45,3NB
2004,16.37710502,B,3NB,15,1.45,3NB
1904,24.00336425,A,3NC,15,1.45,3NC
1913,22.09727496,A,3NC,15,1.45,3NC
1922,20.56045241,A,3NC,15,1.45,3NC
1932,19.50143381,A,3NC,15,1.45,3NC
1939,17.77853607,A,3NC,15,1.45,3NC
1946,14.58497941,A,3NC,15,1.45,3NC
1955,15.95206741,A,3NC,15,1.45,3NC
1959,15.18285513,A,3NC,15,1.45,3NC
1965,14.96690216,A,3NC,15,1.45,3NC
1967,13.79149645,A,3NC,15,1.45,3NC
1968,15.70399385,A,3NC,15,1.45,3NC
1971,14.34587719,A,3NC,15,1.45,3NC
1973,14.53147178,A,3NC,15,1.45,3NC
1975,14.16524887,A,3NC,15,1.45,3NC
1979,14.31519841,A,3NC,15,1.45,3NC
1981,14.64737829,A,3NC,15,1.45,3NC
1982,14.096522,A,3NC,15,1.45,3NC
1983,14.98003877,A,3NC,15,1.45,3NC
1984,13.95153874,A,3NC,15,1.45,3NC
1987,15.27673379,A,3NC,15,1.45,3NC
1988,14.24807356,A,3NC,15,1.45,3NC
1904,22.75912409,D,4NB,15,1.39,4NB
1933,19.72992701,D,4NB,15,1.39,4NB
1956,18.67153285,D,4NB,15,1.39,4NB
1967,20.89781022,D,4NB,15,1.39,4NB
1980,20.20437956,D,4NB,15,1.39,4NB
1904,26.0,C,4NC,15,1.39,4NC
1913,24.74461538,C,4NC,15,1.39,4NC
1923,23.48923077,C,4NC,15,1.39,4NC
1932,23.04615385,C,4NC,15,1.39,4NC
1939,22.78769231,C,4NC,15,1.39,4NC
1946,19.20615385,C,4NC,15,1.39,4NC
1956,19.98153846,C,4NC,15,1.39,4NC
1959,20.01846154,C,4NC,15,1.39,4NC
1965,19.90769231,C,4NC,15,1.39,4NC
1967,18.83692308,C,4NC,15,1.39,4NC
1968,17.98769231,C,4NC,15,1.39,4NC
1971,19.02153846,C,4NC,15,1.39,4NC
1973,18.28307692,C,4NC,15,1.39,4NC
1975,17.36,C,4NC,15,1.39,4NC
1979,17.39692308,C,4NC,15,1.39,4NC
1981,19.57538462,C,4NC,15,1.39,4NC
1982,19.61230769,C,4NC,15,1.39,4NC
1983,17.91384615,C,4NC,15,1.39,4NC
1984,17.10153846,C,4NC,15,1.39,4NC
1986,17.76615385,C,4NC,15,1.39,4NC
1987,17.32307692,C,4NC,15,1.39,4NC
1989,17.98769231,C,4NC,15,1.39,4NC
