phase,year,all_corn,plant_date,plant_day,plot,plot_num,plot_dir,rotation,corn,crop,variety,yield_bush,yield_ton,damage,treated,treatment,notes,,measured_yield
1,1888,FALSE,1888-05-04,125,3NA,3,NW,1,TRUE,CC,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1888,FALSE,1888-05-04,125,3NB,3,NW,1,TRUE,CC,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1888,FALSE,1888-05-04,125,3NC,3,NE,1,TRUE,CC,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1888,FALSE,1888-05-04,125,3ND,3,NE,1,TRUE,CC,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1888,FALSE,1888-05-04,125,3SA,3,SW,1,TRUE,CC,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1888,FALSE,1888-05-04,125,3SB,3,SW,1,TRUE,CC,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1888,FALSE,1888-05-04,125,3SC,3,SE,1,TRUE,CC,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1888,FALSE,1888-05-04,125,3SD,3,SE,1,TRUE,CC,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1888,FALSE,1888-05-04,125,4NA,4,NW,2,TRUE,C,Burr's White,49.5,NA,NA,FALSE,none,NA,1486.37016,3671.334295
1,1888,FALSE,1888-05-04,125,4NB,4,NW,2,TRUE,C,Burr's White,49.5,NA,NA,FALSE,none,NA,1486.37016,3671.334295
1,1888,FALSE,1888-05-04,125,4NC,4,NE,2,TRUE,C,Burr's White,49.5,NA,NA,FALSE,none,NA,1486.37016,3671.334295
1,1888,FALSE,1888-05-04,125,4ND,4,NE,2,TRUE,C,Burr's White,49.5,NA,NA,FALSE,none,NA,1486.37016,3671.334295
1,1888,FALSE,1888-05-04,125,4SA,4,SW,2,TRUE,C,Burr's White,49.5,NA,NA,FALSE,none,NA,1486.37016,3671.334295
1,1888,FALSE,1888-05-04,125,4SB,4,SW,2,TRUE,C,Burr's White,49.5,NA,NA,FALSE,none,NA,1486.37016,3671.334295
1,1888,FALSE,1888-05-04,125,4SC,4,SE,2,TRUE,C,Burr's White,49.5,NA,NA,FALSE,none,NA,1486.37016,3671.334295
1,1888,FALSE,1888-05-04,125,4SD,4,SE,2,TRUE,C,Burr's White,49.5,NA,NA,FALSE,none,NA,1486.37016,3671.334295
1,1888,FALSE,1888-04-05,96,5NA,5,NW,3,FALSE,O,Welcome,48.6,NA,NA,FALSE,none,NA,1459.345248,3604.582763
1,1888,FALSE,1888-04-05,96,5NB,5,NW,3,FALSE,O,Welcome,48.6,NA,NA,FALSE,none,NA,1459.345248,3604.582763
1,1888,FALSE,1888-04-05,96,5NC,5,NE,3,FALSE,O,Welcome,48.6,NA,NA,FALSE,none,NA,1459.345248,3604.582763
1,1888,FALSE,1888-04-05,96,5ND,5,NE,3,FALSE,O,Welcome,48.6,NA,NA,FALSE,none,NA,1459.345248,3604.582763
1,1888,FALSE,1888-04-05,96,5SA,5,SW,3,FALSE,O,Welcome,48.6,NA,NA,FALSE,none,NA,1459.345248,3604.582763
1,1888,FALSE,1888-04-05,96,5SB,5,SW,3,FALSE,O,Welcome,48.6,NA,NA,FALSE,none,NA,1459.345248,3604.582763
1,1888,FALSE,1888-04-05,96,5SC,5,SE,3,FALSE,O,Welcome,48.6,NA,NA,FALSE,none,NA,1459.345248,3604.582763
1,1888,FALSE,1888-04-05,96,5SD,5,SE,3,FALSE,O,Welcome,48.6,NA,NA,FALSE,none,NA,1459.345248,3604.582763
1,1889,FALSE,1889-04-30,120,3NA,3,NW,1,TRUE,CC,Burr's White,43.2,NA,NA,FALSE,none,NA,1297.195776,3204.073567
1,1889,FALSE,1889-04-30,120,3NB,3,NW,1,TRUE,CC,Burr's White,43.2,NA,NA,FALSE,none,NA,1297.195776,3204.073567
1,1889,FALSE,1889-04-30,120,3NC,3,NE,1,TRUE,CC,Burr's White,43.2,NA,NA,FALSE,none,NA,1297.195776,3204.073567
1,1889,FALSE,1889-04-30,120,3ND,3,NE,1,TRUE,CC,Burr's White,43.2,NA,NA,FALSE,none,NA,1297.195776,3204.073567
1,1889,FALSE,1889-04-30,120,3SA,3,SW,1,TRUE,CC,Burr's White,43.2,NA,NA,FALSE,none,NA,1297.195776,3204.073567
1,1889,FALSE,1889-04-30,120,3SB,3,SW,1,TRUE,CC,Burr's White,43.2,NA,NA,FALSE,none,NA,1297.195776,3204.073567
1,1889,FALSE,1889-04-30,120,3SC,3,SE,1,TRUE,CC,Burr's White,43.2,NA,NA,FALSE,none,NA,1297.195776,3204.073567
1,1889,FALSE,1889-04-30,120,3SD,3,SE,1,TRUE,CC,Burr's White,43.2,NA,NA,FALSE,none,NA,1297.195776,3204.073567
1,1889,FALSE,1889-03-22,81,4NA,4,NW,2,FALSE,O,Welcome,37.4,NA,NA,FALSE,none,NA,1123.035232,2773.897023
1,1889,FALSE,1889-03-22,81,4NB,4,NW,2,FALSE,O,Welcome,37.4,NA,NA,FALSE,none,NA,1123.035232,2773.897023
1,1889,FALSE,1889-03-22,81,4NC,4,NE,2,FALSE,O,Welcome,37.4,NA,NA,FALSE,none,NA,1123.035232,2773.897023
1,1889,FALSE,1889-03-22,81,4ND,4,NE,2,FALSE,O,Welcome,37.4,NA,NA,FALSE,none,NA,1123.035232,2773.897023
1,1889,FALSE,1889-03-22,81,4SA,4,SW,2,FALSE,O,Welcome,37.4,NA,NA,FALSE,none,NA,1123.035232,2773.897023
1,1889,FALSE,1889-03-22,81,4SB,4,SW,2,FALSE,O,Welcome,37.4,NA,NA,FALSE,none,NA,1123.035232,2773.897023
1,1889,FALSE,1889-03-22,81,4SC,4,SE,2,FALSE,O,Welcome,37.4,NA,NA,FALSE,none,NA,1123.035232,2773.897023
1,1889,FALSE,1889-03-22,81,4SD,4,SE,2,FALSE,O,Welcome,37.4,NA,NA,FALSE,none,NA,1123.035232,2773.897023
1,1889,FALSE,1889-04-06,96,5NA,5,NW,3,FALSE,H,Medium clover,NA,4.04,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1889,FALSE,1889-04-06,96,5NB,5,NW,3,FALSE,H,Medium clover,NA,4.04,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1889,FALSE,1889-04-06,96,5NC,5,NE,3,FALSE,H,Medium clover,NA,4.04,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1889,FALSE,1889-04-06,96,5ND,5,NE,3,FALSE,H,Medium clover,NA,4.04,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1889,FALSE,1889-04-06,96,5SA,5,SW,3,FALSE,H,Medium clover,NA,4.04,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1889,FALSE,1889-04-06,96,5SB,5,SW,3,FALSE,H,Medium clover,NA,4.04,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1889,FALSE,1889-04-06,96,5SC,5,SE,3,FALSE,H,Medium clover,NA,4.04,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1889,FALSE,1889-04-06,96,5SD,5,SE,3,FALSE,H,Medium clover,NA,4.04,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1890,FALSE,1890-05-03,123,3NA,3,NW,1,TRUE,CC,Burr's White,48.7,NA,NA,FALSE,none,NA,1462.348016,3611.9996
1,1890,FALSE,1890-05-03,123,3NB,3,NW,1,TRUE,CC,Burr's White,48.7,NA,NA,FALSE,none,NA,1462.348016,3611.9996
1,1890,FALSE,1890-05-03,123,3NC,3,NE,1,TRUE,CC,Burr's White,48.7,NA,NA,FALSE,none,NA,1462.348016,3611.9996
1,1890,FALSE,1890-05-03,123,3ND,3,NE,1,TRUE,CC,Burr's White,48.7,NA,NA,FALSE,none,NA,1462.348016,3611.9996
1,1890,FALSE,1890-05-03,123,3SA,3,SW,1,TRUE,CC,Burr's White,48.7,NA,NA,FALSE,none,NA,1462.348016,3611.9996
1,1890,FALSE,1890-05-03,123,3SB,3,SW,1,TRUE,CC,Burr's White,48.7,NA,NA,FALSE,none,NA,1462.348016,3611.9996
1,1890,FALSE,1890-05-03,123,3SC,3,SE,1,TRUE,CC,Burr's White,48.7,NA,NA,FALSE,none,NA,1462.348016,3611.9996
1,1890,FALSE,1890-05-03,123,3SD,3,SE,1,TRUE,CC,Burr's White,48.7,NA,NA,FALSE,none,NA,1462.348016,3611.9996
1,1890,FALSE,1890-05-03,123,4NA,4,NW,2,TRUE,C,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1890,FALSE,1890-05-03,123,4NB,4,NW,2,TRUE,C,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1890,FALSE,1890-05-03,123,4NC,4,NE,2,TRUE,C,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1890,FALSE,1890-05-03,123,4ND,4,NE,2,TRUE,C,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1890,FALSE,1890-05-03,123,4SA,4,SW,2,TRUE,C,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1890,FALSE,1890-05-03,123,4SB,4,SW,2,TRUE,C,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1890,FALSE,1890-05-03,123,4SC,4,SE,2,TRUE,C,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1890,FALSE,1890-05-03,123,4SD,4,SE,2,TRUE,C,Burr's White,54.3,NA,NA,FALSE,none,NA,1630.503024,4027.342469
1,1890,FALSE,NA,NA,5NA,5,NW,3,FALSE,H,Medium clover,NA,1.51,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1890,FALSE,NA,NA,5NB,5,NW,3,FALSE,H,Medium clover,NA,1.51,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1890,FALSE,NA,NA,5NC,5,NE,3,FALSE,H,Medium clover,NA,1.51,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1890,FALSE,NA,NA,5ND,5,NE,3,FALSE,H,Medium clover,NA,1.51,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1890,FALSE,NA,NA,5SA,5,SW,3,FALSE,H,Medium clover,NA,1.51,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1890,FALSE,NA,NA,5SB,5,SW,3,FALSE,H,Medium clover,NA,1.51,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1890,FALSE,NA,NA,5SC,5,SE,3,FALSE,H,Medium clover,NA,1.51,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1890,FALSE,NA,NA,5SD,5,SE,3,FALSE,H,Medium clover,NA,1.51,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1891,FALSE,1891-05-05,125,3NA,3,NW,1,TRUE,CC,Burr's White,28.6,NA,NA,FALSE,none,NA,858.791648,2121.215371
1,1891,FALSE,1891-05-05,125,3NB,3,NW,1,TRUE,CC,Burr's White,28.6,NA,NA,FALSE,none,NA,858.791648,2121.215371
1,1891,FALSE,1891-05-05,125,3NC,3,NE,1,TRUE,CC,Burr's White,28.6,NA,NA,FALSE,none,NA,858.791648,2121.215371
1,1891,FALSE,1891-05-05,125,3ND,3,NE,1,TRUE,CC,Burr's White,28.6,NA,NA,FALSE,none,NA,858.791648,2121.215371
1,1891,FALSE,1891-05-05,125,3SA,3,SW,1,TRUE,CC,Burr's White,28.6,NA,NA,FALSE,none,NA,858.791648,2121.215371
1,1891,FALSE,1891-05-05,125,3SB,3,SW,1,TRUE,CC,Burr's White,28.6,NA,NA,FALSE,none,NA,858.791648,2121.215371
1,1891,FALSE,1891-05-05,125,3SC,3,SE,1,TRUE,CC,Burr's White,28.6,NA,NA,FALSE,none,NA,858.791648,2121.215371
1,1891,FALSE,1891-05-05,125,3SD,3,SE,1,TRUE,CC,Burr's White,28.6,NA,NA,FALSE,none,NA,858.791648,2121.215371
1,1891,FALSE,1891-05-06,126,4NA,4,NW,2,TRUE,C,Burr's White,33.2,NA,NA,FALSE,none,NA,996.918976,2462.389871
1,1891,FALSE,1891-05-06,126,4NB,4,NW,2,TRUE,C,Burr's White,33.2,NA,NA,FALSE,none,NA,996.918976,2462.389871
1,1891,FALSE,1891-05-06,126,4NC,4,NE,2,TRUE,C,Burr's White,33.2,NA,NA,FALSE,none,NA,996.918976,2462.389871
1,1891,FALSE,1891-05-06,126,4ND,4,NE,2,TRUE,C,Burr's White,33.2,NA,NA,FALSE,none,NA,996.918976,2462.389871
1,1891,FALSE,1891-05-06,126,4SA,4,SW,2,TRUE,C,Burr's White,33.2,NA,NA,FALSE,none,NA,996.918976,2462.389871
1,1891,FALSE,1891-05-06,126,4SB,4,SW,2,TRUE,C,Burr's White,33.2,NA,NA,FALSE,none,NA,996.918976,2462.389871
1,1891,FALSE,1891-05-06,126,4SC,4,SE,2,TRUE,C,Burr's White,33.2,NA,NA,FALSE,none,NA,996.918976,2462.389871
1,1891,FALSE,1891-05-06,126,4SD,4,SE,2,TRUE,C,Burr's White,33.2,NA,NA,FALSE,none,NA,996.918976,2462.389871
1,1891,FALSE,NA,NA,5NA,5,NW,3,FALSE,H,Medium clover,NA,1.46,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1891,FALSE,NA,NA,5NB,5,NW,3,FALSE,H,Medium clover,NA,1.46,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1891,FALSE,NA,NA,5NC,5,NE,3,FALSE,H,Medium clover,NA,1.46,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1891,FALSE,NA,NA,5ND,5,NE,3,FALSE,H,Medium clover,NA,1.46,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1891,FALSE,NA,NA,5SA,5,SW,3,FALSE,H,Medium clover,NA,1.46,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1891,FALSE,NA,NA,5SB,5,SW,3,FALSE,H,Medium clover,NA,1.46,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1891,FALSE,NA,NA,5SC,5,SE,3,FALSE,H,Medium clover,NA,1.46,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1891,FALSE,NA,NA,5SD,5,SE,3,FALSE,H,Medium clover,NA,1.46,NA,FALSE,none,NA,#VALUE!,#VALUE!
1,1892,FALSE,1892-05-26,147,3NA,3,NW,1,TRUE,CC,Burr's White,33.1,NA,NA,FALSE,none,NA,993.916208,2454.973034
1,1892,FALSE,1892-05-26,147,3NB,3,NW,1,TRUE,CC,Burr's White,33.1,NA,NA,FALSE,none,NA,993.916208,2454.973034
1,1892,FALSE,1892-05-26,147,3NC,3,NE,1,TRUE,CC,Burr's White,33.1,NA,NA,FALSE,none,NA,993.916208,2454.973034
1,1892,FALSE,1892-05-26,147,3ND,3,NE,1,TRUE,CC,Burr's White,33.1,NA,NA,FALSE,none,NA,993.916208,2454.973034
1,1892,FALSE,1892-05-26,147,3SA,3,SW,1,TRUE,CC,Burr's White,33.1,NA,NA,FALSE,none,NA,993.916208,2454.973034
1,1892,FALSE,1892-05-26,147,3SB,3,SW,1,TRUE,CC,Burr's White,33.1,NA,NA,FALSE,none,NA,993.916208,2454.973034
