,soc_3,yield_3,soc_m_3,yield_m_3,soc_m_4,yield_m_4,soc_4,yield_4
RMSE,2.1429527512818356,1.320508409634243,2.2006800069421635,0.9461118542569705,17.146139405068674,5.278087799595318,1.8472607110034274,1.8451098558345873
MAE,1.6164691462456464,0.980976603489337,1.6528379197275775,0.7071388752598088,16.752799178707093,3.854342078281515,1.4975485379729339,1.5281847881219812
MSE,4.592246494226389,1.743742459914758,4.84299249295496,0.895127640765563,293.9900964980488,27.858210820236952,3.4123721344168882,3.404430380097932
RRMSE,0.06016881542209825,0.31006164436526135,0.061934361990404106,0.4813848089164116,0.41300598042848385,0.997986322283428,0.04449571434310481,0.3488752876324735
bias,0.19304396640157506,-0.15605108075313237,0.05148459240299719,-0.22918964460873512,-16.752799178707093,-2.495715960250189,0.050199167118822226,-1.0756128197138164
ME,0.8642331025286343,0.8769527785491248,0.8724231706057471,0.1961129476141612,-11.107917144790651,-0.7621878659359231,0.8594622078673105,0.7846507105232262
WIA,0.9659143649337878,0.9687828140966355,0.9678608669259549,0.6960211644087839,0.3173029505920404,0.3712629104617551,0.9616686487407619,0.947947966554261
R2,0.8720354420639013,0.8839530832928231,0.8779036469140844,0.29356231466293764,0.4532266002490552,0.025913107377259683,0.8596790741185137,0.8690099727677932
CCC,0.9332279442688844,0.939319160219094,0.9368827812475697,0.508150443535169,0.07683396740061363,-0.09345837710859056,0.9252324526767028,0.9001568432217568
SLOPE,0.9484759793694338,0.9522828740101381,0.9468241103978428,0.4150490948718054,0.48604826637809395,-0.07514402297958861,0.8695388193974045,0.967560357856921
Pbias,0.5420197330910962,-3.6641534692455546,0.1448945495372712,-11.661244151965807,-40.35314356348959,-47.189256549031,0.12091675999364385,-20.33779889431553
