"","year","Carbon","cropping.system","Source"
"1",1904,34.0331006,"COH","Measured"
"2",1913,31.53416753,"COH","Measured"
"3",1923,29.6767613,"COH","Measured"
"4",1933,27.85942915,"COH","Measured"
"5",1944,27.9696649,"COH","Measured"
"6",1953,26.67483228,"COH","Measured"
"7",1961,26.14456546,"COH","Measured"
"8",1970,24.24879223,"COH","Measured"
"9",1973,25.61071374,"COH","Measured"
"10",1974,24.64569214,"COH","Measured"
"11",1980,25.52313969,"COH","Measured"
"12",1983,23.83388245,"COH","Measured"
"13",1986,23.83072432,"COH","Measured"
"14",1987,23.66906229,"COH","Measured"
"15",1904,32.9137143429893,"COH","APSIM"
"16",1913,30.0594140331685,"COH","APSIM"
"17",1923,28.8602887396884,"COH","APSIM"
"18",1933,27.8301017400558,"COH","APSIM"
"19",1944,26.7840003862665,"COH","APSIM"
"20",1953,25.8573064691639,"COH","APSIM"
"21",1961,25.1693386416148,"COH","APSIM"
"22",1970,24.5540588755783,"COH","APSIM"
"23",1973,24.3061021216647,"COH","APSIM"
"24",1974,24.1861706307178,"COH","APSIM"
"25",1980,23.7574368257489,"COH","APSIM"
"26",1983,23.5644748074037,"COH","APSIM"
"27",1986,23.2966509094218,"COH","APSIM"
"28",1987,23.2063261956325,"COH","APSIM"
"29",1904,23.939502,"CC","Measured"
"30",1912,22.0591649,"CC","Measured"
"31",1922,20.47768984,"CC","Measured"
"32",1932,19.39216884,"CC","Measured"
"33",1939,17.7593038,"CC","Measured"
"34",1946,14.48949516,"CC","Measured"
"35",1955,15.78438273,"CC","Measured"
"36",1959,15.0922689,"CC","Measured"
"37",1965,14.7484649,"CC","Measured"
"38",1967,13.75756672,"CC","Measured"
"39",1968,15.5939718,"CC","Measured"
"40",1971,14.15668388,"CC","Measured"
"41",1973,14.30665871,"CC","Measured"
"42",1975,14.06027427,"CC","Measured"
"43",1979,14.11174193,"CC","Measured"
"44",1981,14.46005177,"CC","Measured"
"45",1982,13.91550447,"CC","Measured"
"46",1983,14.80894426,"CC","Measured"
"47",1984,13.86698891,"CC","Measured"
"48",1985,13.66923655,"CC","Measured"
"49",1987,15.20806143,"CC","Measured"
"50",1988,14.21661943,"CC","Measured"
"51",1904,23.7198893448744,"CC","APSIM"
"52",1912,22.2103375306674,"CC","APSIM"
"53",1922,20.705672330899,"CC","APSIM"
"54",1932,19.40802138604,"CC","APSIM"
"55",1939,18.5747634488543,"CC","APSIM"
"56",1946,17.7990432701748,"CC","APSIM"
"57",1955,16.7559216378157,"CC","APSIM"
"58",1959,16.4506052777936,"CC","APSIM"
"59",1965,15.9885407256725,"CC","APSIM"
"60",1967,15.8327014841736,"CC","APSIM"
"61",1968,15.7646256337318,"CC","APSIM"
"62",1971,15.5064066434826,"CC","APSIM"
"63",1973,15.3776464588853,"CC","APSIM"
"64",1975,15.2181949912312,"CC","APSIM"
"65",1979,14.9519192990642,"CC","APSIM"
"66",1981,14.7923201788899,"CC","APSIM"
"67",1982,14.7295376217732,"CC","APSIM"
"68",1983,14.6523042277284,"CC","APSIM"
"69",1984,14.5530648855941,"CC","APSIM"
"70",1985,14.5240492584421,"CC","APSIM"
"71",1987,14.3862814561688,"CC","APSIM"
"72",1988,14.3134039534946,"CC","APSIM"
"73",1904,25.87406465,"CO/S","Measured"
"74",1912,24.68817199,"CO/S","Measured"
"75",1922,23.35471281,"CO/S","Measured"
"76",1932,22.91403308,"CO/S","Measured"
"77",1939,22.67009577,"CO/S","Measured"
"78",1946,19.10270693,"CO/S","Measured"
"79",1955,19.90148507,"CO/S","Measured"
"80",1959,19.90381568,"CO/S","Measured"
"81",1965,19.70882121,"CO/S","Measured"
"82",1967,18.71792302,"CO/S","Measured"
"83",1968,17.925321,"CO/S","Measured"
"84",1971,18.91858864,"CO/S","Measured"
"85",1973,18.22530951,"CO/S","Measured"
"86",1975,17.28451946,"CO/S","Measured"
"87",1979,17.28626742,"CO/S","Measured"
"88",1981,19.46997241,"CO/S","Measured"
"89",1982,19.52015823,"CO/S","Measured"
"90",1983,17.78513474,"CO/S","Measured"
"91",1984,17.04166977,"CO/S","Measured"
"92",1986,17.68713254,"CO/S","Measured"
"93",1987,17.24128662,"CO/S","Measured"
"94",1988,17.93685753,"CO/S","Measured"
"95",1904,24.7667388308927,"CO/S","APSIM"
"96",1912,23.7063501022477,"CO/S","APSIM"
"97",1922,22.5242220087102,"CO/S","APSIM"
"98",1932,21.5126783055737,"CO/S","APSIM"
"99",1939,20.7197776780296,"CO/S","APSIM"
"100",1946,20.0871857001468,"CO/S","APSIM"
"101",1955,19.0694979741095,"CO/S","APSIM"
"102",1959,18.7996470857132,"CO/S","APSIM"
"103",1965,18.4122014214001,"CO/S","APSIM"
"104",1967,18.2782996560736,"CO/S","APSIM"
"105",1968,18.7623489984148,"CO/S","APSIM"
"106",1971,18.34281381436,"CO/S","APSIM"
"107",1973,18.3654151103117,"CO/S","APSIM"
"108",1975,18.2979436358392,"CO/S","APSIM"
"109",1979,18.0094820372743,"CO/S","APSIM"
"110",1981,18.0225640352681,"CO/S","APSIM"
"111",1982,18.0692138076768,"CO/S","APSIM"
"112",1983,17.9723741134443,"CO/S","APSIM"
"113",1984,18.0090593354453,"CO/S","APSIM"
"114",1986,17.9225405101268,"CO/S","APSIM"
"115",1987,17.8391600768795,"CO/S","APSIM"
"116",1988,17.8155829794632,"CO/S","APSIM"
