"","year","Carbon","cropping.system","Source"
"1",1904,24.0275862068966,"CC","APSIM"
"2",1912,22.4002688304757,"CC","APSIM"
"3",1922,20.760121631085,"CC","APSIM"
"4",1932,19.3674748262704,"CC","APSIM"
"5",1939,18.4440282657301,"CC","APSIM"
"6",1946,17.643272095601,"CC","APSIM"
"7",1955,16.6662316165792,"CC","APSIM"
"8",1959,16.4854105259844,"CC","APSIM"
"9",1965,16.030705649317,"CC","APSIM"
"10",1967,15.9127306982616,"CC","APSIM"
"11",1968,15.9321857085789,"CC","APSIM"
"12",1971,15.662676838186,"CC","APSIM"
"13",1973,15.6055266610324,"CC","APSIM"
"14",1975,15.4149078345532,"CC","APSIM"
"15",1979,15.1381782658153,"CC","APSIM"
"16",1981,15.0161914241917,"CC","APSIM"
"17",1982,15.0212346922458,"CC","APSIM"
"18",1983,14.8797529596321,"CC","APSIM"
"19",1984,14.8161598949488,"CC","APSIM"
"20",1985,14.7280849988264,"CC","APSIM"
"21",1987,14.6426993193266,"CC","APSIM"
"22",1988,14.6061928105865,"CC","APSIM"
"23",1904,25.8144827586207,"CO/S","APSIM"
"24",1912,24.7282975895122,"CO/S","APSIM"
"25",1922,23.133921616197,"CO/S","APSIM"
"26",1932,21.8646137476951,"CO/S","APSIM"
"27",1939,20.9075764909479,"CO/S","APSIM"
"28",1946,20.4053200704999,"CO/S","APSIM"
"29",1955,18.9938986632979,"CO/S","APSIM"
"30",1959,18.9257681268212,"CO/S","APSIM"
"31",1965,18.5963164683732,"CO/S","APSIM"
"32",1967,18.5323668977477,"CO/S","APSIM"
"33",1968,18.9277604671135,"CO/S","APSIM"
"34",1971,18.4907691108196,"CO/S","APSIM"
"35",1973,18.612141812528,"CO/S","APSIM"
"36",1975,18.4923679558363,"CO/S","APSIM"
"37",1979,18.2896958866453,"CO/S","APSIM"
"38",1981,18.2911973936061,"CO/S","APSIM"
"39",1982,18.7306964400393,"CO/S","APSIM"
"40",1983,18.166563665952,"CO/S","APSIM"
"41",1984,18.3931425227869,"CO/S","APSIM"
"42",1986,18.497164427422,"CO/S","APSIM"
"43",1987,18.0875165752783,"CO/S","APSIM"
"44",1988,18.3235418091064,"CO/S","APSIM"
"45",1904,34.0586206896552,"COH","APSIM"
"46",1913,32.3600559577483,"COH","APSIM"
"47",1923,30.6694177099638,"COH","APSIM"
"48",1933,29.2164889160096,"COH","APSIM"
"49",1944,27.7639829747638,"COH","APSIM"
"50",1953,26.7488781648213,"COH","APSIM"
"51",1961,26.0029115089626,"COH","APSIM"
"52",1970,25.4471701593503,"COH","APSIM"
"53",1973,25.2573913606264,"COH","APSIM"
"54",1974,25.4354806959653,"COH","APSIM"
"55",1980,24.9313489667789,"COH","APSIM"
"56",1983,24.7602616831657,"COH","APSIM"
"57",1986,24.6034003182627,"COH","APSIM"
"58",1987,24.2950821117658,"COH","APSIM"
"59",1904,34.0331006,"COH","Measured"
"60",1913,31.53416753,"COH","Measured"
"61",1923,29.6767613,"COH","Measured"
"62",1933,27.85942915,"COH","Measured"
"63",1944,27.9696649,"COH","Measured"
"64",1953,26.67483228,"COH","Measured"
"65",1961,26.14456546,"COH","Measured"
"66",1970,24.24879223,"COH","Measured"
"67",1973,25.61071374,"COH","Measured"
"68",1974,24.64569214,"COH","Measured"
"69",1980,25.52313969,"COH","Measured"
"70",1983,23.83388245,"COH","Measured"
"71",1986,23.83072432,"COH","Measured"
"72",1987,23.66906229,"COH","Measured"
"73",1904,23.939502,"CC","Measured"
"74",1912,22.0591649,"CC","Measured"
"75",1922,20.47768984,"CC","Measured"
"76",1932,19.39216884,"CC","Measured"
"77",1939,17.7593038,"CC","Measured"
"78",1946,14.48949516,"CC","Measured"
"79",1955,15.78438273,"CC","Measured"
"80",1959,15.0922689,"CC","Measured"
"81",1965,14.7484649,"CC","Measured"
"82",1967,13.75756672,"CC","Measured"
"83",1968,15.5939718,"CC","Measured"
"84",1971,14.15668388,"CC","Measured"
"85",1973,14.30665871,"CC","Measured"
"86",1975,14.06027427,"CC","Measured"
"87",1979,14.11174193,"CC","Measured"
"88",1981,14.46005177,"CC","Measured"
"89",1982,13.91550447,"CC","Measured"
"90",1983,14.80894426,"CC","Measured"
"91",1984,13.86698891,"CC","Measured"
"92",1985,13.66923655,"CC","Measured"
"93",1987,15.20806143,"CC","Measured"
"94",1988,14.21661943,"CC","Measured"
"95",1904,25.87406465,"CO/S","Measured"
"96",1912,24.68817199,"CO/S","Measured"
"97",1922,23.35471281,"CO/S","Measured"
"98",1932,22.91403308,"CO/S","Measured"
"99",1939,22.67009577,"CO/S","Measured"
"100",1946,19.10270693,"CO/S","Measured"
"101",1955,19.90148507,"CO/S","Measured"
"102",1959,19.90381568,"CO/S","Measured"
"103",1965,19.70882121,"CO/S","Measured"
"104",1967,18.71792302,"CO/S","Measured"
"105",1968,17.925321,"CO/S","Measured"
"106",1971,18.91858864,"CO/S","Measured"
"107",1973,18.22530951,"CO/S","Measured"
"108",1975,17.28451946,"CO/S","Measured"
"109",1979,17.28626742,"CO/S","Measured"
"110",1981,19.46997241,"CO/S","Measured"
"111",1982,19.52015823,"CO/S","Measured"
"112",1983,17.78513474,"CO/S","Measured"
"113",1984,17.04166977,"CO/S","Measured"
"114",1986,17.68713254,"CO/S","Measured"
"115",1987,17.24128662,"CO/S","Measured"
"116",1988,17.93685753,"CO/S","Measured"
