"","year","simulated","measured"
"1",1905,1217.38154069926,1839.375566
"2",1906,3087.14465887037,2009.962816
"3",1907,3092.58333208447,2150.882718
"4",1908,2097.87475244821,993.8561526
"5",1909,2251.35710376311,1972.878631
"6",1910,2291.11244839589,2662.644469
"7",1911,531.20015063122,1624.287294
"8",1912,2047.85972077204,3204.073567
"9",1913,321.607019724572,1438.86637
"10",1914,1277.85425330756,2343.720479
"11",1915,3350.91204859145,2966.734784
"12",1916,2407.03751930081,830.6857395
"13",1917,2077.91997157359,2966.734784
"14",1918,2226.05907151344,1008.689827
"15",1919,746.064384615274,1780.04087
"16",1920,577.309379033119,2091.548023
"17",1921,1318.1187071505,1468.533718
"18",1922,1383.48112867317,1824.541892
"19",1923,696.564424293985,1112.525544
"20",1924,2461.16561338178,2076.714349
"21",1925,51.1987553316805,1416.615859
"22",1926,2096.85177935678,1587.203109
"23",1927,1789.93084932456,1913.543936
"24",1928,2382.9866717932,1394.365348
"25",1929,2262.7142726668,1305.363305
"26",1930,2507.89155030188,1268.27912
"27",1931,1466.54666611167,1839.375566
"28",1932,2366.65019994803,2440.13936
"29",1933,1151.56113423993,585.9301198
"30",1935,2888.9304891624,3307.909284
"31",1936,1122.39278142694,1038.357174
"32",1937,2015.97432657064,3196.65673
"33",1938,1331.02657644857,2692.311816
"34",1939,2133.08006359465,1631.704131
"35",1940,1401.08141400538,1394.365348
"36",1941,1502.69916978798,1846.792403
"37",1942,1269.97602689002,1965.461794
"38",1943,2203.59899792593,1216.361261
"39",1944,1270.44867891662,1394.365348
"40",1945,2472.18016231034,2254.718436
"41",1946,1712.46838741408,1713.289338
"42",1947,3092.08384329497,934.521457
"43",1948,1292.9642426627,2009.962816
"44",1949,1070.06548654031,1483.367392
"45",1950,1084.70202183621,1416.615859
"46",1951,2745.31780135004,934.521457
"47",1952,1470.58200875412,1386.948512
"48",1953,817.798533355895,1246.028609
"49",1954,357.596691911298,2440.13936
"50",1955,2225.72778362932,6371.062949
"51",1956,6431.79760941133,8381.025765
"52",1957,6292.96524903865,7839.596667
"53",1958,11324.6644691427,9634.471211
"54",1959,9301.61024655403,4146.011861
"55",1960,9997.37065417504,7149.830829
"56",1961,9948.5165744848,7713.510438
"57",1962,9238.61439122895,9182.044156
"58",1963,11670.043700287,9219.128341
"59",1964,7415.54065786243,8121.436471
"60",1965,10779.2889325257,10361.32123
"61",1967,10967.8050344751,9753.882286
"62",1968,11067.1753668413,7580.007373
"63",1969,10131.0180213814,10368.73807
"64",1970,10443.7470311657,9805.058461
"65",1971,9644.96297902391,9738.306928
"66",1972,11743.7828113693,10079.48143
"67",1973,8625.14956588442,9619.637537
"68",1974,9431.41278209285,7446.504308
"69",1975,9578.37302905882,10049.81408
"70",1976,13085.7537013947,7832.17983
"71",1977,7134.04301013296,8707.366591
"72",1978,11281.6026939667,12037.52639
"73",1979,8282.15351500258,8343.94158
"74",1980,10705.2955321565,4398.184317
"75",1981,11964.1449709863,11065.92074
"76",1982,12953.1469650969,11073.33758
"77",1983,9168.81512957941,7290.750732
"78",1984,11341.2466953489,9060.40803
"79",1985,11240.7223390175,11553.94862
"80",1986,9804.90392664684,11689.67673
"81",1987,6808.3418602695,12384.63436
"82",1988,8058.06815406809,5469.917258
"83",1989,11879.6177230624,11386.3281
"84",1990,9799.01160048141,10301.98654
"85",1991,6062.18936458091,8100.669328
"86",1993,7895.25353645463,6892.466587
"87",1994,6742.92121397383,10175.15863
"88",1995,8064.53531025324,7209.165525
"89",1996,11460.3123913224,11429.34576
"90",1997,9482.2643519594,11199.42381
"91",1998,9026.49820143887,9196.87783
"92",1999,9262.53733348199,11859.5223
"93",2000,11824.4244391958,11703.76872
"94",2001,8673.41786381452,12052.36006
"95",2002,10372.356579863,10865.66615
"96",2003,11909.7089918031,12593.78916
"97",2004,11635.6460818602,11970.77485
"98",2005,6931.093299781,11194.23202
