"","year","simulated","measured"
"1",1905,1256.56955869739,1839.375566
"2",1906,3087.14465887037,2009.962816
"3",1907,3092.58333208448,2150.882718
"4",1908,2097.87475244821,993.8561526
"5",1909,2251.35710376311,1972.878631
"6",1910,2291.11244839589,2662.644469
"7",1911,531.20015063122,1624.287294
"8",1912,2047.85972077204,3204.073567
"9",1913,473.805032834453,1438.86637
"10",1914,1257.18442683474,2343.720479
"11",1915,3350.91204859145,2966.734784
"12",1916,2407.02742491824,830.6857395
"13",1917,2077.91997157359,2966.734784
"14",1918,2226.05907151344,1008.689827
"15",1919,607.178386574939,1780.04087
"16",1920,531.375369195194,2091.548023
"17",1921,1318.1187071505,1468.533718
"18",1922,1383.48112867317,1824.541892
"19",1923,935.348067461239,1112.525544
"20",1924,2436.38185127458,2076.714349
"21",1925,81.2778663854475,1416.615859
"22",1926,2096.85177935679,1587.203109
"23",1927,1789.93084932456,1913.543936
"24",1928,2382.9866717932,1394.365348
"25",1929,2262.7142726668,1305.363305
"26",1930,2507.89155030188,1268.27912
"27",1931,1466.54666611167,1839.375566
"28",1932,2366.65019994803,2440.13936
"29",1933,1151.56113423993,585.9301198
"30",1934,1643.87018545429,1238.611772
"31",1935,2862.26395660343,3307.909284
"32",1936,1122.39278142694,1038.357174
"33",1937,3053.39647033521,3196.65673
"34",1938,1858.45189124001,2692.311816
"35",1939,3168.90623369821,1631.704131
"36",1940,2229.00459923423,1394.365348
"37",1941,2356.21913294475,1846.792403
"38",1942,1883.53865928772,1965.461794
"39",1943,3197.48424722432,1216.361261
"40",1944,2104.78248455908,1394.365348
"41",1945,3388.93238983493,2254.718436
"42",1946,2611.07647240954,1713.289338
"43",1947,4071.38635831874,934.521457
"44",1948,2113.01315290018,2009.962816
"45",1949,1739.02292846556,1483.367392
"46",1950,1886.76814561628,1416.615859
"47",1951,3705.99637275444,934.521457
"48",1952,2317.86988657628,1386.948512
"49",1953,1485.57390235831,1246.028609
"50",1954,828.12560761057,2440.13936
"51",1955,3883.56705669726,3003.818969
"52",1956,5109.76643292677,2084.131186
"53",1957,5598.25569745766,3433.995512
"54",1958,4202.14435095465,2736.812838
"55",1959,3961.38185452907,1461.116881
"56",1960,4679.59058802113,3597.165926
"57",1961,3224.27962068732,3560.081741
"58",1962,4290.63305189904,3367.24398
"59",1963,5467.5933848401,3782.58685
"60",1964,3837.68670749258,3834.504708
"61",1965,4229.52187367845,3856.755219
"62",1966,4017.79180539433,3715.835317
"63",1967,4327.52637523207,3054.25346
"64",1968,2215.1008144537,2699.728653
"65",1969,4838.7900780817,4146.011861
"66",1970,2980.93167450389,2870.315904
"67",1971,4669.54904203671,3886.422567
"68",1972,4456.04324625932,3982.841448
"69",1973,1328.70911441091,3048.319991
"70",1974,4362.27678398513,2870.315904
"71",1975,1996.66389897391,3382.077654
"72",1976,4750.86325693897,3686.167969
"73",1977,2207.16371316279,3775.170013
"74",1978,3691.72891045486,4390.76748
"75",1979,2815.68321712304,2759.063349
"76",1980,3247.50512105351,3515.580719
"77",1981,3804.60604422809,3500.747045
"78",1982,1541.96625974414,2610.72661
"79",1983,3164.87122263661,4887.695557
"80",1984,2349.6626246849,4928.48816
"81",1985,3643.19324529679,4410.79294
"82",1986,2370.44553781826,4866.186729
"83",1987,3587.64704817308,3871.588893
"84",1988,3231.69972275157,3853.046801
