"","year","simulated","observed"
"1",1905,2551,3708
"2",1907,3370,3545
"3",1909,3297,2448
"4",1911,2004,1750
"5",1913,1877,2166
"6",1915,2939,3634
"7",1917,2849,3590
"8",1919,1886,2284
"9",1921,2992,2270
"10",1923,2284,1276
"11",1925,301,1980
"12",1927,2857,2181
"13",1929,3266,1750
"14",1931,2671,2485
"15",1933,2651,616
"16",1935,3355,3857
"17",1937,4118,3263
"18",1939,4658,2299
"19",1941,3819,2373
"20",1943,4010,1943
"21",1945,4191,3397
"22",1947,4251,1691
"23",1949,3061,2381
"24",1951,4071,2366
"25",1953,3016,2900
"26",1955,6030,3560
"27",1957,4694,3538
"28",1959,4989,2930
"29",1961,4265,3464
"30",1963,5282,3553
"31",1965,4464,4710
"32",1967,4345,4762
"33",1969,4044,4962
"34",1971,5972,5778
"35",1973,4501,5340
"36",1975,4350,6037
"37",1977,5502,4791
"38",1979,4741,4191
"39",1981,6064,3879
"40",1983,4371,5629
"41",1985,5628,7057
"42",1987,5411,7311
"43",1989,4961,7129
"44",1991,4476,5914
"45",1993,3387,5982
"46",1995,5321,3033
"47",1997,4892,7090
