uniqueid,plotid,year,corn_grain_yield_kg,Corn grain moisture,Soybean grain moisture,Wheat grain yield at 13.5% MB,Wheat grain moisture,grain_yield_Mg,lon_lat,Plotid,observed
NWREC,1011.0,2014,13596.0,263,M,M,M,13.596,"(-90.7272222, 40.9305556)",1011,13596.0
NWREC,1011.0,2012,13828.0,168,M,M,M,13.828,"(-90.7272222, 40.9305556)",1011,13828.0
NWREC,1012.0,2012,13189.0,158,M,M,M,13.189,"(-90.7272222, 40.9305556)",1012,13189.0
NWREC,1012.0,2014,14922.0,205,M,M,M,14.922,"(-90.7272222, 40.9305556)",1012,14922.0
NWREC,1021.0,2012,14177.0,173,M,M,M,14.177,"(-90.7272222, 40.9305556)",1021,14177.0
NWREC,1021.0,2015,14849.0,226,M,M,M,14.849,"(-90.7272222, 40.9305556)",1021,14849.0
NWREC,1022.0,2012,14220.0,156,M,M,M,14.22,"(-90.7272222, 40.9305556)",1022,14220.0
NWREC,1022.0,2015,15604.0,218,M,M,M,15.604,"(-90.7272222, 40.9305556)",1022,15604.0
NWREC,1061.0,2013,14405.0,257,M,M,M,14.405,"(-90.7272222, 40.9305556)",1061,14405.0
NWREC,1062.0,2013,15459.0,206,M,M,M,15.459,"(-90.7272222, 40.9305556)",1062,15459.0
NWREC,1071.0,2011,14708.0,200,M,M,M,14.708,"(-90.7272222, 40.9305556)",1071,14708.0
NWREC,1071.0,2014,15032.0,206,M,M,M,15.032,"(-90.7272222, 40.9305556)",1071,15032.0
NWREC,1072.0,2014,12968.0,226,M,M,M,12.968,"(-90.7272222, 40.9305556)",1072,12968.0
NWREC,1072.0,2011,13632.0,210,M,M,M,13.632,"(-90.7272222, 40.9305556)",1072,13632.0
NWREC,1091.0,2013,13796.0,218,M,M,M,13.796,"(-90.7272222, 40.9305556)",1091,13796.0
NWREC,1091.0,2011,13916.0,199,M,M,M,13.916,"(-90.7272222, 40.9305556)",1091,13916.0
NWREC,1091.0,2015,14653.0,201,M,M,M,14.653,"(-90.7272222, 40.9305556)",1091,14653.0
NWREC,1092.0,2013,12571.0,228,M,M,M,12.571,"(-90.7272222, 40.9305556)",1092,12571.0
NWREC,1092.0,2011,12608.0,210,M,M,M,12.608,"(-90.7272222, 40.9305556)",1092,12608.0
NWREC,1092.0,2015,14437.0,216,M,M,M,14.437,"(-90.7272222, 40.9305556)",1092,14437.0
NWREC,1101.0,2012,7675.0,144,M,M,M,7.675,"(-90.7272222, 40.9305556)",1101,7675.0
NWREC,1101.0,2013,10409.0,178,M,M,M,10.409,"(-90.7272222, 40.9305556)",1101,10409.0
NWREC,1101.0,2011,11456.0,177,M,M,M,11.456,"(-90.7272222, 40.9305556)",1101,11456.0
NWREC,1101.0,2015,14972.0,213,M,M,M,14.972,"(-90.7272222, 40.9305556)",1101,14972.0
NWREC,1101.0,2014,14988.0,214,M,M,M,14.988,"(-90.7272222, 40.9305556)",1101,14988.0
NWREC,1102.0,2012,6940.0,141,M,M,M,6.94,"(-90.7272222, 40.9305556)",1102,6940.0
NWREC,1102.0,2013,8574.0,166,M,M,M,8.574,"(-90.7272222, 40.9305556)",1102,8574.0
NWREC,1102.0,2014,13634.0,274,M,M,M,13.634,"(-90.7272222, 40.9305556)",1102,13634.0
NWREC,1102.0,2015,15128.0,231,M,M,M,15.128,"(-90.7272222, 40.9305556)",1102,15128.0
NWREC,2011.0,2014,13038.0,255,M,M,M,13.038,"(-90.7272222, 40.9305556)",2011,13038.0
NWREC,2012.0,2011,13946.0,203,M,M,M,13.946,"(-90.7272222, 40.9305556)",2012,13946.0
NWREC,2012.0,2014,15124.0,216,M,M,M,15.124,"(-90.7272222, 40.9305556)",2012,15124.0
NWREC,2031.0,2012,8968.0,143,M,M,M,8.968,"(-90.7272222, 40.9305556)",2031,8968.0
NWREC,2031.0,2013,10496.0,183,M,M,M,10.496,"(-90.7272222, 40.9305556)",2031,10496.0
NWREC,2031.0,2011,12229.0,190,M,M,M,12.229,"(-90.7272222, 40.9305556)",2031,12229.0
NWREC,2031.0,2014,14468.0,222,M,M,M,14.468,"(-90.7272222, 40.9305556)",2031,14468.0
NWREC,2031.0,2015,15457.0,225,M,M,M,15.457,"(-90.7272222, 40.9305556)",2031,15457.0
NWREC,2032.0,2012,8101.0,162,M,M,M,8.101,"(-90.7272222, 40.9305556)",2032,8101.000000000001
NWREC,2032.0,2013,10456.0,233,M,M,M,10.456,"(-90.7272222, 40.9305556)",2032,10456.0
NWREC,2032.0,2011,12403.0,213,M,M,M,12.403,"(-90.7272222, 40.9305556)",2032,12403.0
NWREC,2032.0,2014,13021.0,289,M,M,M,13.021,"(-90.7272222, 40.9305556)",2032,13021.0
NWREC,2032.0,2015,13938.0,233,M,M,M,13.938,"(-90.7272222, 40.9305556)",2032,13938.0
NWREC,2051.0,2013,14629.0,219,M,M,M,14.629,"(-90.7272222, 40.9305556)",2051,14629.0
NWREC,2052.0,2013,13687.0,248,M,M,M,13.687,"(-90.7272222, 40.9305556)",2052,13687.0
