index,uniqueid,plotid,year,corn_grain_yield_kg,Corn grain moisture,Soybean grain moisture,Wheat grain yield at 13.5% MB,Wheat grain moisture,grain_yield_Mg,lon_lat,Plotid,observed
0,NWREC,1011.0,2014,13596.0,263,M,M,M,13.596,"(-90.7272222, 40.9305556)",1011,13596.0
1,NWREC,1011.0,2012,13828.0,168,M,M,M,13.828,"(-90.7272222, 40.9305556)",1011,13828.0
2,NWREC,1012.0,2012,13189.0,158,M,M,M,13.189,"(-90.7272222, 40.9305556)",1012,13189.0
3,NWREC,1012.0,2014,14922.0,205,M,M,M,14.922,"(-90.7272222, 40.9305556)",1012,14922.0
4,NWREC,1021.0,2012,14177.0,173,M,M,M,14.177,"(-90.7272222, 40.9305556)",1021,14177.0
5,NWREC,1021.0,2015,14849.0,226,M,M,M,14.849,"(-90.7272222, 40.9305556)",1021,14849.0
6,NWREC,1022.0,2012,14220.0,156,M,M,M,14.22,"(-90.7272222, 40.9305556)",1022,14220.0
7,NWREC,1022.0,2015,15604.0,218,M,M,M,15.604,"(-90.7272222, 40.9305556)",1022,15604.0
8,NWREC,1061.0,2013,14405.0,257,M,M,M,14.405,"(-90.7272222, 40.9305556)",1061,14405.0
9,NWREC,1062.0,2013,15459.0,206,M,M,M,15.459,"(-90.7272222, 40.9305556)",1062,15459.0
10,NWREC,1071.0,2011,14708.0,200,M,M,M,14.708,"(-90.7272222, 40.9305556)",1071,14708.0
11,NWREC,1071.0,2014,15032.0,206,M,M,M,15.032,"(-90.7272222, 40.9305556)",1071,15032.0
12,NWREC,1072.0,2014,12968.0,226,M,M,M,12.968,"(-90.7272222, 40.9305556)",1072,12968.0
13,NWREC,1072.0,2011,13632.0,210,M,M,M,13.632,"(-90.7272222, 40.9305556)",1072,13632.0
14,NWREC,1091.0,2013,13796.0,218,M,M,M,13.796,"(-90.7272222, 40.9305556)",1091,13796.0
15,NWREC,1091.0,2011,13916.0,199,M,M,M,13.916,"(-90.7272222, 40.9305556)",1091,13916.0
16,NWREC,1091.0,2015,14653.0,201,M,M,M,14.653,"(-90.7272222, 40.9305556)",1091,14653.0
