uniqueid,plotid,Soil sampling depth,subsample,year,sampledate,Bulk density,Water retention at 0 bar,Soil texture name,Soil pH,Cation exchange capacity (CEC),Soil organic carbon (SOC),Total nitrogen (TN),Soil nitrate,Standard soil fertility routine analysis: soil pH detected with the 1:1 H2O method,Standard soil fertility routine analysis: soil cation exchange capacity (CEC),Standard soil fertility routine analysis: soil calcium (Ca) by base saturation,Standard soil fertility routine analysis: soil magnesium (Mg) by base saturation,Standard soil fertility routine analysis: soil potassium (K) by base saturation,Standard soil fertility routine analysis: lime test index,Standard soil fertility routine analysis: soil potassium (K) concentration measured by ammonium acetate or Mehlich-3 test,Standard soil fertility routine analysis: soil calcium (Ca) concentration measured by ammonium acetate or Mehlich-3 test,Standard soil fertility routine analysis: soil magnesium (Mg) concentration measured by ammonium acetate or Mehlich-3 test,Percent sand,Percent silt,Percent clay,Water retention at 0.05 bar,Water retention at 0.1 bar,Water retention at 0.33 bar,Water retention at 15 bar
NWREC,3081,20 to 40,1,2011,M,M,M,silty clay,6.42,10.04,22.5,1.6,M,6.42,M,M,M,M,M,59.6,1627.3,194.6,2.0,71.0,27.0,M,M,M,M
NWREC,4061,20 to 40,1,2011,M,M,M,silty clay,5.68,10.26,21.1,1.7,M,5.68,M,M,M,M,M,71.9,1632.3,207.9,3.0,70.0,27.0,M,M,M,M
NWREC,4062,20 to 40,1,2011,M,M,M,silt loam,5.69,10.32,20.0,1.7,M,5.69,M,M,M,M,M,58.2,1581.8,255.1,3.0,72.0,25.0,M,M,M,M
NWREC,4041,20 to 40,1,2011,M,M,M,silt loam,6.19,10.33,22.8,1.6,M,6.19,M,M,M,M,M,70.8,1700.0,181.8,3.0,71.0,26.0,M,M,M,M
NWREC,4092,40 to 60,1,2011,M,M,M,silty clay,6.58,10.39,10.0,0.9,M,6.58,M,M,M,M,M,89.8,1603.2,240.5,3.0,70.0,27.0,M,M,M,M
NWREC,2101,40 to 60,1,2011,M,M,M,silty clay,6.86,10.71,7.9,0.6,M,6.86,M,M,M,M,M,82.3,1525.0,182.3,3.0,67.0,30.0,M,M,M,M
NWREC,2031,40 to 60,1,2011,M,M,M,silty clay,6.84,10.83,5.4,0.5,M,6.84,M,M,M,M,M,77.4,1658.9,245.6,6.0,67.0,27.0,M,M,M,M
NWREC,2031,20 to 40,1,2011,M,M,M,silt loam,6.92,11.38,14.5,1.3,M,6.92,M,M,M,M,M,86.9,1828.8,220.8,5.0,70.0,25.0,M,M,M,M
NWREC,1082,40 to 60,1,2011,M,M,M,silty clay,6.51,11.42,12.4,0.9,M,6.51,M,M,M,M,M,85.9,1789.7,241.7,2.0,70.0,28.0,M,M,M,M
NWREC,4062,10 to 20,1,2011,M,1.44,0.46,silty clay,5.75,11.44,22.2,1.8,M,5.75,M,M,M,M,M,86.9,1932.0,173.3,3.0,70.0,27.0,0.45,0.45,0.44,0.124
NWREC,2092,20 to 40,1,2011,M,M,M,silty clay,6.99,11.44,21.2,1.5,M,6.99,M,M,M,M,M,74.2,1860.0,217.7,2.0,68.0,30.0,M,M,M,M
NWREC,2101,20 to 40,1,2011,M,M,M,silty clay,6.96,11.72,17.0,1.2,M,6.96,M,M,M,M,M,74.1,1882.8,236.7,2.0,67.0,31.0,M,M,M,M
NWREC,2091,20 to 40,1,2011,M,M,M,silty clay,6.76,11.73,16.5,1.2,M,6.76,M,M,M,M,M,74.3,1905.1,222.0,2.0,68.0,30.0,M,M,M,M
NWREC,1071,40 to 60,1,2011,M,M,M,silty clay,6.56,12.08,10.5,0.8,M,6.56,M,M,M,M,M,78.2,1862.4,293.0,3.0,70.0,27.0,M,M,M,M
NWREC,1092,20 to 40,1,2011,M,M,M,silt loam,6.97,12.26,18.9,1.4,M,6.97,M,M,M,M,M,80.7,2003.5,228.5,2.0,72.0,26.0,M,M,M,M
NWREC,2032,10 to 20,1,2011,M,1.4,0.47,silty clay,6.26,12.31,23.7,1.8,M,6.26,M,M,M,M,M,116.3,2011.6,226.2,2.0,70.0,28.0,0.4,0.38,0.37,0.133
NWREC,4102,20 to 40,1,2011,M,M,M,silt loam,5.99,12.31,10.4,1.0,M,5.99,M,M,M,M,M,79.6,1894.4,291.8,2.0,74.0,24.0,M,M,M,M
NWREC,2011,40 to 60,1,2011,M,M,M,silty clay,6.75,12.56,13.1,1.0,M,6.75,M,M,M,M,M,92.4,1879.4,312.4,4.0,67.0,29.0,M,M,M,M
NWREC,1101,20 to 40,1,2011,M,M,M,silty clay,7.02,12.57,18.1,1.3,M,7.02,M,M,M,M,M,95.7,2034.3,245.0,2.0,68.0,30.0,M,M,M,M
NWREC,3092,40 to 60,1,2011,M,M,M,silty clay,6.5,12.57,11.8,0.9,M,6.5,M,M,M,M,M,67.6,1931.5,303.1,2.0,67.0,31.0,M,M,M,M
NWREC,4061,40 to 60,1,2011,M,M,M,silty clay,6.28,12.71,10.3,0.9,M,6.28,M,M,M,M,M,88.0,2024.0,257.4,5.0,66.0,29.0,M,M,M,M
NWREC,2102,20 to 40,1,2011,M,M,M,silty clay,6.66,12.82,17.7,1.2,M,6.66,M,M,M,M,M,84.0,2066.0,253.1,2.0,69.0,29.0,M,M,M,M
NWREC,3052,40 to 60,1,2011,M,M,M,silty clay,6.36,12.99,13.1,1.1,M,6.36,M,M,M,M,M,86.6,2020.8,302.4,3.0,69.0,28.0,M,M,M,M
NWREC,3032,20 to 40,1,2011,M,M,M,silt loam,5.96,13.3,23.8,2.0,M,5.96,M,M,M,M,M,93.9,2187.7,236.9,2.0,75.0,23.0,M,M,M,M
NWREC,4091,40 to 60,1,2011,M,M,M,silt loam,6.51,13.33,5.8,0.5,M,6.51,M,M,M,M,M,98.8,2186.2,238.1,2.0,72.0,26.0,M,M,M,M
NWREC,1101,40 to 60,1,2011,M,M,M,silty clay,6.54,13.55,8.3,0.7,M,6.54,M,M,M,M,M,97.0,2092.8,304.6,3.0,66.0,31.0,M,M,M,M
NWREC,3051,40 to 60,1,2011,M,M,M,silt loam,6.16,13.77,18.1,1.4,M,6.16,M,M,M,M,M,93.2,2207.0,277.3,3.0,71.0,26.0,M,M,M,M
NWREC,4101,20 to 40,1,2011,M,M,M,silty clay,6.55,13.85,12.5,1.1,M,6.55,M,M,M,M,M,86.9,2180.2,300.4,2.0,71.0,27.0,M,M,M,M
NWREC,1091,20 to 40,1,2011,M,M,M,silt loam,6.93,13.94,15.5,1.1,M,6.93,M,M,M,M,M,81.6,2277.2,261.8,3.0,71.0,26.0,M,M,M,M
NWREC,2102,40 to 60,1,2011,M,M,M,silty clay,6.93,14.04,9.3,0.7,M,6.93,M,M,M,M,M,110.4,2313.4,229.9,2.0,68.0,30.0,M,M,M,M
NWREC,2011,20 to 40,1,2011,M,M,M,silt loam,6.63,14.05,25.8,2.0,M,6.63,M,M,M,M,M,88.6,2290.0,267.8,2.0,72.0,26.0,M,M,M,M
NWREC,3091,20 to 40,1,2011,M,M,M,silty clay,6.32,14.08,19.7,1.4,M,6.32,M,M,M,M,M,82.3,2287.2,272.2,2.0,67.0,31.0,M,M,M,M
NWREC,1081,20 to 40,1,2011,M,M,M,silty clay,6.98,14.21,22.0,1.6,M,6.98,M,M,M,M,M,89.3,2174.2,345.3,2.0,71.0,27.0,M,M,M,M
NWREC,1082,20 to 40,1,2011,M,M,M,silty clay,7.04,14.23,19.9,1.4,M,7.04,M,M,M,M,M,83.0,2327.4,267.7,2.0,71.0,27.0,M,M,M,M
NWREC,3081,40 to 60,1,2011,M,M,M,silty clay,6.68,14.23,13.0,0.9,M,6.68,M,M,M,M,M,88.1,2161.8,360.9,3.0,66.0,31.0,M,M,M,M
NWREC,4042,20 to 40,1,2011,M,M,M,silt loam,6.33,14.33,25.2,1.8,M,6.33,M,M,M,M,M,270.9,1935.2,275.5,3.0,72.0,25.0,M,M,M,M
NWREC,4102,40 to 60,1,2011,M,M,M,silt loam,6.71,14.57,5.2,0.5,M,6.71,M,M,M,M,M,153.4,2165.8,343.3,2.0,72.0,26.0,M,M,M,M
NWREC,2101,10 to 20,1,2011,M,1.42,0.47,silty clay,6.73,14.74,22.3,1.6,M,6.73,M,M,M,M,M,100.1,2417.6,279.3,2.0,70.0,28.0,0.42,0.42,0.4,0.119
NWREC,2032,40 to 60,1,2011,M,M,M,silty clay,6.58,14.75,11.6,0.9,M,6.58,M,M,M,M,M,137.2,2364.3,273.0,4.0,68.0,28.0,M,M,M,M
NWREC,4061,10 to 20,1,2011,M,1.41,0.47,silty clay,5.74,15.03,23.8,1.9,M,5.74,M,M,M,M,M,133.2,2481.5,259.6,3.0,69.0,28.0,0.47,0.47,0.46,0.124
NWREC,4091,20 to 40,1,2011,M,M,M,silt loam,6.15,15.04,18.0,1.6,M,6.15,M,M,M,M,M,83.5,2364.0,336.0,2.0,74.0,24.0,M,M,M,M
NWREC,3082,20 to 40,1,2011,M,M,M,silty clay,6.45,15.07,21.0,1.4,M,6.45,M,M,M,M,M,86.2,2451.3,289.0,2.0,70.0,28.0,M,M,M,M
NWREC,3052,20 to 40,1,2011,M,M,M,silt loam,6.25,15.12,23.0,1.6,M,6.25,M,M,M,M,M,84.3,2496.9,264.5,2.0,72.0,26.0,M,M,M,M
NWREC,4082,40 to 60,1,2014,M,1.27,M,M,7.3,15.35,11.9,0.9,M,M,M,M,M,M,M,46.0,2249.0,394.0,M,M,M,M,M,M,M
NWREC,4092,40 to 60,1,2014,M,1.25,M,M,7.4,15.44,10.2,0.8,M,M,M,M,M,M,M,51.0,2159.0,458.0,M,M,M,M,M,M,M
NWREC,3051,20 to 40,1,2011,M,M,M,silt loam,6.07,15.56,24.3,1.9,M,6.07,M,M,M,M,M,84.0,2600.7,256.8,2.0,77.0,21.0,M,M,M,M
NWREC,3082,40 to 60,1,2011,M,M,M,silty clay,6.63,15.81,12.4,0.9,M,6.63,M,M,M,M,M,96.7,2407.2,403.4,2.0,67.0,31.0,M,M,M,M
NWREC,3091,40 to 60,1,2011,M,M,M,silty clay,6.4,15.91,11.4,0.9,M,6.4,M,M,M,M,M,78.5,2488.5,367.0,3.0,66.0,31.0,M,M,M,M
NWREC,3032,10 to 20,1,2011,M,1.39,0.48,silt loam,6.2,15.93,23.2,1.8,M,6.2,M,M,M,M,M,88.7,2642.4,274.4,2.0,75.0,23.0,0.45,0.42,0.4,0.119
NWREC,1102,20 to 40,1,2011,M,M,M,silty clay,7.01,16.02,15.7,1.2,M,7.01,M,M,M,M,M,105.7,2596.2,309.4,1.0,70.0,29.0,M,M,M,M
NWREC,2012,40 to 60,1,2011,M,M,M,silty clay,6.49,16.11,16.4,1.1,M,6.49,M,M,M,M,M,118.1,2548.9,334.9,2.0,66.0,32.0,M,M,M,M
NWREC,1012,40 to 60,1,2014,M,1.27,M,M,7.0,16.27,13.1,0.9,M,M,M,M,M,M,M,48.0,2424.0,387.0,M,M,M,M,M,M,M
NWREC,1102,40 to 60,1,2014,M,1.33,M,M,7.0,16.28,12.2,0.8,M,M,M,M,M,M,M,57.0,2375.0,419.0,M,M,M,M,M,M,M
NWREC,4101,40 to 60,1,2014,M,1.38,M,M,7.0,16.29,7.0,0.7,M,M,M,M,M,M,M,73.0,2216.0,505.0,M,M,M,M,M,M,M
NWREC,2032,20 to 40,1,2011,M,M,M,silty clay,6.57,16.41,22.2,1.7,M,6.57,M,M,M,M,M,96.0,2685.5,308.0,2.0,69.0,29.0,M,M,M,M
NWREC,1101,40 to 60,1,2014,M,1.35,M,M,7.0,16.58,10.5,0.8,M,M,M,M,M,M,M,59.0,2389.0,443.0,M,M,M,M,M,M,M
NWREC,4101,20 to 40,1,2014,M,1.36,M,M,7.0,16.68,13.2,1.0,M,M,M,M,M,M,M,70.0,2464.0,404.0,M,M,M,M,M,M,M
NWREC,1061,40 to 60,1,2014,M,1.33,M,M,7.0,16.8,13.1,0.9,M,M,M,M,M,M,M,47.0,2480.0,418.0,M,M,M,M,M,M,M
