uniqueid,plotid,year,Corn grain yield at 15.5% MB,Corn grain moisture,Soybean grain moisture,Wheat grain yield at 13.5% MB,Wheat grain moisture
NWREC,1011,2014,13596,263,M,M,M
NWREC,1011,2012,13828,168,M,M,M
NWREC,1011,2011,M,M,88,M,M
NWREC,1011,2013,M,M,101,M,M
NWREC,1011,2015,M,M,60,M,M
NWREC,1012,2012,13189,158,M,M,M
NWREC,1012,2014,14922,205,M,M,M
NWREC,1012,2011,M,M,88,M,M
NWREC,1012,2013,M,M,113,M,M
NWREC,1012,2015,M,M,60,M,M
NWREC,1021,2012,14177,173,M,M,M
NWREC,1021,2015,14849,226,M,M,M
NWREC,1021,2011,M,M,M,3995,84
NWREC,1021,2013,M,M,111,M,M
NWREC,1021,2014,M,M,M,5070,120
NWREC,1022,2012,14220,156,M,M,M
NWREC,1022,2015,15604,218,M,M,M
NWREC,1022,2011,M,M,M,4190,82
NWREC,1022,2013,M,M,111,M,M
NWREC,1022,2014,M,M,M,4542,190
NWREC,1061,2013,14405,257,M,M,M
NWREC,1061,2011,M,M,86,M,M
NWREC,1061,2012,M,M,M,5812,182
NWREC,1061,2014,M,M,130,M,M
NWREC,1061,2015,M,M,M,2754,110
NWREC,1062,2013,15459,206,M,M,M
NWREC,1062,2011,M,M,83,M,M
NWREC,1062,2012,M,M,M,7247,128
NWREC,1062,2014,M,M,130,M,M
NWREC,1062,2015,M,M,M,3136,100
NWREC,1071,2011,14708,200,M,M,M
NWREC,1071,2014,15032,206,M,M,M
NWREC,1071,2012,M,M,75,M,M
NWREC,1071,2013,M,M,M,3857,109
NWREC,1071,2015,M,M,50,M,M
NWREC,1072,2014,12968,226,M,M,M
NWREC,1072,2011,13632,210,M,M,M
NWREC,1072,2012,M,M,89,M,M
NWREC,1072,2013,M,M,M,3846,116
NWREC,1072,2015,M,M,120,M,M
NWREC,1081,2011,M,M,84,M,M
NWREC,1081,2012,M,M,79,M,M
NWREC,1081,2013,M,M,101,M,M
NWREC,1081,2014,M,M,130,M,M
NWREC,1081,2015,M,M,50,M,M
NWREC,1082,2011,M,M,79,M,M
NWREC,1082,2012,M,M,83,M,M
NWREC,1082,2013,M,M,100,M,M
NWREC,1082,2014,M,M,130,M,M
