uniqueid,rep,plotid,tillage,rotation,drainage,nitrogen,landscape,2011crop,2012crop,2013crop,2014crop,2015crop,agro_data,soil_data,ghg_data,ipmcscap_data,ipmusb_data,soilseriesname1,soiltextureseries1,soilseriesdescription1,soiltaxonomicclass1,soilseriesname2,soiltextureseries2,soilseriesdescription2,soiltaxonomicclass2,soilseriesname3,soiltextureseries3,soilseriesdescription3,soiltaxonomicclass3,soilseriesname4,soiltextureseries4,soilseriesdescription4,soiltaxonomicclass4
NWREC,1,1011,TIL1,ROT5,DWM4,NIT2,n/a,Soybean,Corn,Soybean,Corn,Soybean,yes,yes,yes,no,yes,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1012,TIL2,ROT5,DWM4,NIT2,n/a,Soybean,Corn,Soybean,Corn,Soybean,yes,yes,yes,no,yes,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1021,TIL1,ROT8,DWM4,NIT2,n/a,Wheat,Corn,Soybean,Wheat,Corn,yes,yes,no,no,yes,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1022,TIL2,ROT8,DWM4,NIT2,n/a,Wheat,Corn,Soybean,Wheat,Corn,yes,yes,yes,no,yes,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1031,TIL2,ROT19,DWM4,NIT2,n/a,Wheat,Soybean,Corn,Wheat,Soybean,no,no,no,no,yes,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1032,TIL1,ROT19,DWM4,NIT2,n/a,Wheat,Soybean,Corn,Wheat,Soybean,no,no,no,no,yes,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1051,TIL2,ROT18,DWM4,NIT2,n/a,Corn,Wheat,Soybean,Corn,Wheat,no,no,no,no,yes,Sable,silty clay loam,"The Sable series consists of very deep, poorly drained, moderately permeable soils formed in loess on nearly level broad summits of moraines and stream terraces. Slope ranges from 0 to 2 percent. Mean annual temperature is about 10.6 degrees C (51 degrees F)., and mean annual precipitation is about 889 mm (35 inches).","Fine-silty, mixed, superactive, mesic Typic Endoaquolls ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1052,TIL1,ROT18,DWM4,NIT2,n/a,Corn,Wheat,Soybean,Corn,Wheat,no,no,no,no,yes,Sable,silty clay loam,"The Sable series consists of very deep, poorly drained, moderately permeable soils formed in loess on nearly level broad summits of moraines and stream terraces. Slope ranges from 0 to 2 percent. Mean annual temperature is about 10.6 degrees C (51 degrees F)., and mean annual precipitation is about 889 mm (35 inches).","Fine-silty, mixed, superactive, mesic Typic Endoaquolls ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1061,TIL1,ROT7,DWM4,NIT2,n/a,Soybean,Wheat,Corn,Soybean,Wheat,yes,yes,yes,no,no,Sable,silty clay loam,"The Sable series consists of very deep, poorly drained, moderately permeable soils formed in loess on nearly level broad summits of moraines and stream terraces. Slope ranges from 0 to 2 percent. Mean annual temperature is about 10.6 degrees C (51 degrees F)., and mean annual precipitation is about 889 mm (35 inches).","Fine-silty, mixed, superactive, mesic Typic Endoaquolls ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1062,TIL2,ROT7,DWM4,NIT2,n/a,Soybean,Wheat,Corn,Soybean,Wheat,yes,yes,yes,no,no,Sable,silty clay loam,"The Sable series consists of very deep, poorly drained, moderately permeable soils formed in loess on nearly level broad summits of moraines and stream terraces. Slope ranges from 0 to 2 percent. Mean annual temperature is about 10.6 degrees C (51 degrees F)., and mean annual precipitation is about 889 mm (35 inches).","Fine-silty, mixed, superactive, mesic Typic Endoaquolls ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1071,TIL2,ROT6,DWM4,NIT2,n/a,Corn,Soybean,Wheat,Corn,Soybean,yes,yes,yes,no,yes,Sable,silty clay loam,"The Sable series consists of very deep, poorly drained, moderately permeable soils formed in loess on nearly level broad summits of moraines and stream terraces. Slope ranges from 0 to 2 percent. Mean annual temperature is about 10.6 degrees C (51 degrees F)., and mean annual precipitation is about 889 mm (35 inches).","Fine-silty, mixed, superactive, mesic Typic Endoaquolls ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1072,TIL1,ROT6,DWM4,NIT2,n/a,Corn,Soybean,Wheat,Corn,Soybean,yes,yes,yes,no,yes,Sable,silty clay loam,"The Sable series consists of very deep, poorly drained, moderately permeable soils formed in loess on nearly level broad summits of moraines and stream terraces. Slope ranges from 0 to 2 percent. Mean annual temperature is about 10.6 degrees C (51 degrees F)., and mean annual precipitation is about 889 mm (35 inches).","Fine-silty, mixed, superactive, mesic Typic Endoaquolls ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1081,TIL2,ROT2,DWM4,NIT2,n/a,Soybean,Soybean,Soybean,Soybean,Soybean,yes,yes,yes,no,yes,Sable,silty clay loam,"The Sable series consists of very deep, poorly drained, moderately permeable soils formed in loess on nearly level broad summits of moraines and stream terraces. Slope ranges from 0 to 2 percent. Mean annual temperature is about 10.6 degrees C (51 degrees F)., and mean annual precipitation is about 889 mm (35 inches).","Fine-silty, mixed, superactive, mesic Typic Endoaquolls ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1082,TIL1,ROT2,DWM4,NIT2,n/a,Soybean,Soybean,Soybean,Soybean,Soybean,yes,yes,yes,no,yes,Sable,silty clay loam,"The Sable series consists of very deep, poorly drained, moderately permeable soils formed in loess on nearly level broad summits of moraines and stream terraces. Slope ranges from 0 to 2 percent. Mean annual temperature is about 10.6 degrees C (51 degrees F)., and mean annual precipitation is about 889 mm (35 inches).","Fine-silty, mixed, superactive, mesic Typic Endoaquolls ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1091,TIL2,ROT4,DWM4,NIT2,n/a,Corn,Soybean,Corn,Soybean,Corn,yes,yes,yes,no,yes,Sable,silty clay loam,"The Sable series consists of very deep, poorly drained, moderately permeable soils formed in loess on nearly level broad summits of moraines and stream terraces. Slope ranges from 0 to 2 percent. Mean annual temperature is about 10.6 degrees C (51 degrees F)., and mean annual precipitation is about 889 mm (35 inches).","Fine-silty, mixed, superactive, mesic Typic Endoaquolls ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1092,TIL1,ROT4,DWM4,NIT2,n/a,Corn,Soybean,Corn,Soybean,Corn,yes,yes,yes,no,yes,Sable,silty clay loam,"The Sable series consists of very deep, poorly drained, moderately permeable soils formed in loess on nearly level broad summits of moraines and stream terraces. Slope ranges from 0 to 2 percent. Mean annual temperature is about 10.6 degrees C (51 degrees F)., and mean annual precipitation is about 889 mm (35 inches).","Fine-silty, mixed, superactive, mesic Typic Endoaquolls ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1101,TIL2,ROT1,DWM4,NIT2,n/a,Corn,Corn,Corn,Corn,Corn,yes,yes,yes,no,yes,Sable,silty clay loam,"The Sable series consists of very deep, poorly drained, moderately permeable soils formed in loess on nearly level broad summits of moraines and stream terraces. Slope ranges from 0 to 2 percent. Mean annual temperature is about 10.6 degrees C (51 degrees F)., and mean annual precipitation is about 889 mm (35 inches).","Fine-silty, mixed, superactive, mesic Typic Endoaquolls ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,1,1102,TIL1,ROT1,DWM4,NIT2,n/a,Corn,Corn,Corn,Corn,Corn,yes,yes,yes,no,yes,Sable,silty clay loam,"The Sable series consists of very deep, poorly drained, moderately permeable soils formed in loess on nearly level broad summits of moraines and stream terraces. Slope ranges from 0 to 2 percent. Mean annual temperature is about 10.6 degrees C (51 degrees F)., and mean annual precipitation is about 889 mm (35 inches).","Fine-silty, mixed, superactive, mesic Typic Endoaquolls ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,2,2011,TIL1,ROT6,DWM4,NIT2,n/a,Corn,Soybean,Wheat,Corn,Soybean,yes,yes,yes,no,yes,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",Osco,silt loam,"The Osco series consists of very deep, well drained soils formed in loess. These soils are on crests and shoulders of hills on loess covered till plains and on treads and risers of stream terraces in river valleys. Slope ranges from 0 to 18 percent. The mean annual precipitation is about 890 mm (35 inches), and the mean annual air temperature is about 8.3 degrees C (47 degrees F)","Fine-silty, mixed, superactive, mesic Typic Argiudolls",n/a,n/a,n/a,n/a,,,,
NWREC,2,2012,TIL2,ROT6,DWM4,NIT2,n/a,Corn,Soybean,Wheat,Corn,Soybean,yes,yes,yes,no,yes,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",Osco,silt loam,"The Osco series consists of very deep, well drained soils formed in loess. These soils are on crests and shoulders of hills on loess covered till plains and on treads and risers of stream terraces in river valleys. Slope ranges from 0 to 18 percent. The mean annual precipitation is about 890 mm (35 inches), and the mean annual air temperature is about 8.3 degrees C (47 degrees F)","Fine-silty, mixed, superactive, mesic Typic Argiudolls",n/a,n/a,n/a,n/a,,,,
NWREC,2,2021,TIL1,ROT18,DWM4,NIT2,n/a,Corn,Wheat,Soybean,Corn,Wheat,no,no,no,no,yes,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,2,2022,TIL2,ROT18,DWM4,NIT2,n/a,Corn,Wheat,Soybean,Corn,Wheat,no,no,no,no,yes,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,2,2031,TIL2,ROT1,DWM4,NIT2,n/a,Corn,Corn,Corn,Corn,Corn,yes,yes,yes,no,yes,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,2,2032,TIL1,ROT1,DWM4,NIT2,n/a,Corn,Corn,Corn,Corn,Corn,yes,yes,yes,no,yes,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,2,2051,TIL2,ROT7,DWM4,NIT2,n/a,Soybean,Wheat,Corn,Soybean,Wheat,yes,yes,yes,no,no,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
NWREC,2,2052,TIL1,ROT7,DWM4,NIT2,n/a,Soybean,Wheat,Corn,Soybean,Wheat,yes,yes,yes,no,no,Muscatune ,silt loam,"The Muscatune series consists of very deep, somewhat poorly drained soils formed in loess on uplands and high stream benches. Slope ranges from 0 to 5 percent. The mean annual precipitation is about 914 mm (36 inches), and the mean annual temperature is about 10.6 degrees C (51 degrees F)."," Fine-silty, mixed, superactive, mesic Aquic Argiudolls",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,
